"IdTransaction";"AddressOrigin";"AddressDestination";"TotalSent";"Status";"SentDate";"ImportDate"
ID1002;A-77;A-49; 293,659.00 ;Confirmed;"2021-01-08 13:34:04";"2021-01-31 23:59:59"
ID2014;A-24;A-58; 542,285.00 ;Confirmed;"2021-01-17 13:34:04";"2021-01-31 23:59:59"
ID1092;A-15;A-20; 57,493.00 ;Confirmed;"2021-01-03 03:07:57";"2021-01-31 23:59:59"
ID1603;A-84;A-59; 883,745.00 ;Confirmed;"2021-01-02 06:36:39";"2021-01-31 23:59:59"
ID253;A-86;A-44; 194,591.00 ;Confirmed;"2021-01-14 20:22:08";"2021-01-31 23:59:59"
ID322;A-62;A-18; 130,057.00 ;Confirmed;"2021-01-01 06:14:33";"2021-01-31 23:59:59"
ID2330;A-24;A-71; 469,855.00 ;Confirmed;"2021-01-09 21:45:26";"2021-01-31 23:59:59"
ID2732;A-3;A-50; 998,501.00 ;Denied;"2021-01-20 16:29:47";"2021-01-31 23:59:59"
ID1835;A-36;A-64; 885,079.00 ;Confirmed;"2021-01-13 06:14:33";"2021-01-31 23:59:59"
ID2825;A-34;A-31; 405,464.00 ;Confirmed;"2021-01-26 11:48:41";"2021-01-31 23:59:59"
ID1998;A-44;A-4; 946,058.00 ;Confirmed;"2021-01-09 12:28:55";"2021-01-31 23:59:59"
ID1309;A-48;A-41; 631,071.00 ;Confirmed;"2021-01-06 02:31:16";"2021-01-31 23:59:59"
ID2160;A-72;A-76; 137,713.00 ;Confirmed;"2021-01-31 21:07:28";"2021-01-31 23:59:59"
ID880;A-55;A-100; 676,434.00 ;Confirmed;"2021-01-27 15:45:43";"2021-01-31 23:59:59"
ID1036;A-72;A-92; 60,740.00 ;Confirmed;"2021-01-07 03:13:24";"2021-01-31 23:59:59"
ID319;A-42;A-76; 658,041.00 ;Confirmed;"2021-01-09 12:28:55";"2021-01-31 23:59:59"
ID2839;A-40;A-62; 518,519.00 ;Confirmed;"2021-01-24 17:59:13";"2021-01-31 23:59:59"
ID270;A-82;A-26; 434,108.00 ;Confirmed;"2021-01-31 06:18:18";"2021-01-31 23:59:59"
ID1005;A-76;A-57; 104,535.00 ;Confirmed;"2021-01-31 12:28:55";"2021-01-31 23:59:59"
ID2687;A-4;A-89; 752,072.00 ;Confirmed;"2021-01-10 20:22:08";"2021-01-31 23:59:59"
ID996;A-97;A-12; 411,003.00 ;Confirmed;"2021-01-25 06:18:18";"2021-01-31 23:59:59"
ID266;A-50;A-84; 100,156.00 ;Denied;"2021-01-12 21:07:28";"2021-01-31 23:59:59"
